"Name"	"Genes (tot)"	"Stat (dist.dir.up)"	"p (dist.dir.up)"	"p adj (dist.dir.up)"	"Stat (dist.dir.dn)"	"p (dist.dir.dn)"	"p adj (dist.dir.dn)"	"Stat (non-dir.)"	"p (non-dir.)"	"p adj (non-dir.)"	"Genes (up)"	"Stat (mix.dir.up)"	"p (mix.dir.up)"	"p adj (mix.dir.up)"	"Genes (down)"	"Stat (mix.dir.dn)"	"p (mix.dir.dn)"	"p adj (mix.dir.dn)"
"1"	"p53 signaling pathway"	66	2.7802	0.086029	0.17485	-2.7802	0.91508	1	5.8957	0.0021597	0.0078604	35	6.185	0.0099192	0.030641	31	2.0307	0.079648	0.44892
"2"	"mTOR signaling pathway"	147	1.1778	0.49442	0.70211	-1.1778	0.50874	1	4.7937	0.037234	0.092493	68	5.3449	0.095869	0.21365	79	1.5803	0.18469	0.71399
"3"	"mRNA surveillance pathway"	88	2.2671	0.16976	0.30537	-2.2671	0.83311	1	2.3864	0.28555	0.43912	46	3.8633	0.22025	0.40186	41	0.68623	0.41797	0.93232
"4"	"cGMP-PKG signaling pathway"	162	2.8995	0.10993	0.214	-2.8995	0.8933	1	3.0832	0.2594	0.41215	73	6.187	0.036478	0.094842	89	-1.4436	0.95127	1
"5"	"cAMP signaling pathway"	185	3.5932	0.055959	0.12879	-3.5932	0.94689	1	3.8049	0.16956	0.31219	95	5.2748	0.16779	0.32719	90	0.035822	0.64525	1
"6"	"beta-Alanine metabolism"	31	-1.3165	0.89946	1	1.3165	0.099953	0.87459	3.0042	0.089367	0.19291	12	2.037	0.33973	0.55657	19	2.2185	0.052614	0.37806
"7"	"alpha-Linolenic acid metabolism"	22	0.54688	0.47083	0.68543	-0.54688	0.53076	1	-0.43293	0.74735	0.85011	9	1.3659	0.46087	0.6688	13	-1.6997	0.94114	1
"8"	"Wnt signaling pathway"	139	2.4844	0.18632	0.32948	-2.4844	0.8173	1	3.8534	0.11127	0.22762	65	6.2565	0.032969	0.087918	74	-0.58245	0.82147	1
"9"	"Vitamin digestion and absorption"	23	0.81502	0.42235	0.62357	-0.81502	0.58004	1	1.1635	0.38679	0.54289	10	2.4419	0.21291	0.39477	13	-0.5941	0.74485	1
"10"	"Vitamin B6 metabolism"	8	-1.8056	0.92164	1	1.8056	0.078329	0.79087	1.1742	0.33024	0.48757	3	-0.92711	0.82822	0.92288	5	2.2034	0.041956	0.32746
"11"	"Viral myocarditis"	71	5.1837	0.0011806	0.0040606	-5.1837	0.99893	1	3.5425	0.079936	0.17496	41	5.9789	0.01766	0.051018	30	-1.5399	0.95531	1
"12"	"Viral carcinogenesis"	209	6.3425	0.000278	0.0010877	-6.3425	0.99975	1	5.863	0.012256	0.034773	111	9.3267	0.00098898	0.0043459	98	-1.364	0.95078	1
"13"	"Vasopressin-regulated water reabsorption"	42	0.72318	0.51543	0.71461	-0.72318	0.48648	1	3.9179	0.033325	0.084802	22	3.1205	0.20309	0.38402	20	2.4049	0.031922	0.29435
"14"	"Vascular smooth muscle contraction"	122	3.5208	0.050218	0.11999	-3.5208	0.95136	1	1.6543	0.52642	0.69247	60	4.6683	0.14952	0.30097	62	-2.2718	0.98779	1
"15"	"Valine, leucine and isoleucine degradation"	53	-4.0154	0.99954	1	4.0154	0.0004303	0.022447	0.81098	0.56786	0.7196	9	0.060333	0.74069	0.85972	44	0.86278	0.35576	0.88229
"16"	"Valine, leucine and isoleucine biosynthesis"	3	1.7636	0.11699	0.22328	-1.7636	0.88323	1	0.90548	0.33907	0.49825	2	1.6327	0.23998	0.42543	1	-0.74062	0.72809	1
"17"	"VEGF signaling pathway"	55	7.3782	2.2692e-06	1.3401e-05	-7.0664	0.99999	1	7.5441	6.2615e-05	0.00039197	36	8.6394	5.0247e-05	0.0002958	19	0.94348	0.28054	0.81046
"18"	"Ubiquitin mediated proteolysis"	136	-0.59974	0.88054	1	0.59974	0.11996	0.9291	5.5193	0.012332	0.034773	64	3.5667	0.3653	0.57854	72	4.2228	0.00083631	0.051851
"19"	"Ubiquinone and other terpenoid-quinone biosynthesis"	10	0.23649	0.52999	0.71813	-0.23649	0.47059	1	1.4051	0.28564	0.43912	5	1.0202	0.44878	0.6543	5	0.96682	0.24408	0.79914
"20"	"Tyrosine metabolism"	37	0.79427	0.43961	0.64436	-0.79427	0.56286	1	0.39451	0.66145	0.78126	17	1.4793	0.50912	0.69669	20	-0.82726	0.81409	1
"21"	"Type II diabetes mellitus"	45	1.7623	0.23142	0.37903	-1.7623	0.77277	1	2.9657	0.1273	0.25218	23	3.5457	0.15379	0.3059	22	0.61607	0.41188	0.93232
"22"	"Type I diabetes mellitus"	53	3.6697	0.018368	0.048041	-3.6697	0.9826	1	-0.35087	0.81866	0.89283	32	2.1266	0.50394	0.69571	21	-3.1826	0.99654	1
"23"	"Tuberculosis"	159	10.03	3.624e-10	4.7263e-09	-9.8463	1	1	8.7484	9.0764e-06	6.6068e-05	103	10.94	1.465e-05	0.00011427	56	-0.096324	0.68518	1
"24"	"Tryptophan metabolism"	44	-2.3054	0.97957	1	2.3054	0.020024	0.32679	-0.35243	0.81311	0.88987	16	-1.4955	0.9617	0.98056	28	0.68868	0.37636	0.88387
"25"	"Transcriptional misregulation in cancer"	165	8.052	1.149e-06	7.1929e-06	-8.052	1	1	9.836	4.1544e-07	5.0012e-06	101	10.602	2.3024e-05	0.00016706	64	2.4748	0.05447	0.37806
"26"	"Toxoplasmosis"	106	9.4003	3.4377e-09	3.3625e-08	-8.4488	1	1	9.6213	2.3864e-07	3.2057e-06	70	10.755	9.407e-06	7.7236e-05	36	1.5128	0.1568	0.64812
"27"	"Toll-like receptor signaling pathway"	86	8.3147	1.0757e-07	7.8201e-07	-8.3147	1	1	8.2607	7.3723e-06	5.6281e-05	57	9.3159	4.24e-05	0.00026457	29	1.1648	0.24747	0.79914
"28"	"Tight junction"	160	8.6132	8.6745e-08	6.4646e-07	-8.6132	1	1	8.1775	7.2133e-05	0.0004427	98	10.181	8.5299e-05	0.00047524	62	0.33719	0.54202	0.97222
"29"	"Thyroid hormone synthesis"	72	2.6131	0.094107	0.19004	-2.6131	0.90787	1	1.5414	0.47235	0.63727	42	2.0466	0.59867	0.75964	30	-0.033514	0.65047	1
"30"	"Thyroid hormone signaling pathway"	114	2.8743	0.10038	0.19891	-2.8743	0.90199	1	7.7274	8.6487e-05	0.0005013	58	7.9625	0.0011412	0.0049451	56	2.922	0.024545	0.29435
"31"	"Thyroid cancer"	28	3.0503	0.036154	0.090529	-3.0503	0.96483	1	5.5254	0.0014579	0.0056336	17	5.2263	0.010858	0.033213	11	2.3184	0.028945	0.29435
"32"	"Thiamine metabolism"	13	-2.9519	0.99005	1	2.9519	0.0099348	0.24	2.0507	0.18119	0.32222	5	-0.57011	0.79216	0.89917	8	3.0649	0.0063978	0.14167
"33"	"Th17 cell differentiation"	97	5.0368	0.002791	0.0085646	-5.0368	0.99739	1	6.9584	0.00042787	0.0018862	55	7.737	0.0018403	0.0072679	42	1.7209	0.14422	0.62096
"34"	"Th1 and Th2 cell differentiation"	84	2.893	0.070055	0.15019	-2.893	0.93204	1	4.0301	0.053994	0.12612	46	4.4833	0.1267	0.26531	38	1.0592	0.27831	0.81046
"35"	"Terpenoid backbone biosynthesis"	21	-0.92801	0.80953	0.94545	0.92801	0.19041	1	0.23607	0.61884	0.75076	6	1.3633	0.40501	0.61341	15	-0.5829	0.77595	1
"36"	"Taurine and hypotaurine metabolism"	10	2.2203	0.097455	0.19553	-2.2203	0.90379	1	1.4809	0.26987	0.4248	8	1.4942	0.40992	0.61488	2	0.32302	0.42709	0.93232
"37"	"Taste transduction"	54	-1.0251	0.87822	1	1.0251	0.1217	0.9291	-4.5825	0.99979	1	24	-3.9834	0.99972	1	30	-2.5852	0.99546	1
"38"	"TNF signaling pathway"	105	15.276	0	0	-15.276	1	1	15.921	0	0	77	17.282	2.2204e-16	3.4639e-14	28	2.172	0.06215	0.40139
"39"	"TGF-beta signaling pathway"	80	9.4846	2.4515e-09	2.6137e-08	-9.4846	1	1	5.8666	0.0027694	0.0097255	62	7.5837	0.0033812	0.012411	18	-1.7069	0.94477	1
"40"	"T cell receptor signaling pathway"	100	6.8691	1.0156e-05	5.2979e-05	-6.8691	0.99999	1	7.4574	8.0634e-05	0.00048352	59	9.5016	4.7028e-05	0.00028217	41	0.24844	0.56323	0.98091
"41"	"Systemic lupus erythematosus"	120	2.1764	0.19932	0.34091	-2.1764	0.80311	1	-6.4529	1	1	56	0.9718	0.85276	0.92358	58	-3.7689	0.99985	1
"42"	"Synthesis and degradation of ketone bodies"	9	-1.4703	0.88318	1	1.4703	0.11604	0.9291	-0.62328	0.74962	0.85011	1	-0.027108	0.58325	0.75507	8	-0.6515	0.75849	1
