"Name"	"Genes (tot)"	"Stat (dist.dir.up)"	"p (dist.dir.up)"	"p adj (dist.dir.up)"	"Stat (dist.dir.dn)"	"p (dist.dir.dn)"	"p adj (dist.dir.dn)"	"Stat (non-dir.)"	"p (non-dir.)"	"p adj (non-dir.)"	"Genes (up)"	"Stat (mix.dir.up)"	"p (mix.dir.up)"	"p adj (mix.dir.up)"	"Genes (down)"	"Stat (mix.dir.dn)"	"p (mix.dir.dn)"	"p adj (mix.dir.dn)"
"1"	"p53 signaling pathway"	66	-0.18395	0.48884	1	0.18395	0.51116	0.83994	-0.75589	0.19123	0.33439	34	-1.1199	0.29756	0.47745	32	0.068826	0.36066	0.62314
"2"	"mTOR signaling pathway"	147	0.89504	0.10502	0.72174	-0.89504	0.89498	1	2.2294	4.2878e-05	0.0013422	80	1.3679	6.6737e-05	0.0028199	67	1.8075	0.021614	0.16004
"3"	"mRNA surveillance pathway"	88	2.8933	0.0005789	0.045277	-2.8933	0.99942	1	-2.0029	0.44897	0.59295	55	0.24184	0.010712	0.058445	32	-2.1872	0.94462	1
"4"	"cGMP-PKG signaling pathway"	162	0.26484	0.24682	1	-0.26484	0.75318	0.97023	2.0642	7.8149e-05	0.0017472	84	1.549	5.4292e-05	0.0028199	78	1.3673	0.042284	0.20533
"5"	"cAMP signaling pathway"	185	-0.32151	0.45814	1	0.32151	0.54186	0.86173	1.3297	0.00020294	0.0030247	98	-0.010805	0.0037267	0.027378	87	1.9505	0.013169	0.11456
"6"	"beta-Alanine metabolism"	31	1.4317	0.051116	0.47057	-1.4317	0.94888	1	0.088849	0.13641	0.25566	19	0.55012	0.052019	0.17029	12	-0.54941	0.63462	0.84707
"7"	"alpha-Linolenic acid metabolism"	22	-0.54918	0.66634	1	0.54918	0.33366	0.65684	-1.4135	0.61902	0.73952	13	-2.1825	0.85029	0.9616	9	0.41298	0.30693	0.58786
"8"	"Wnt signaling pathway"	139	-0.3473	0.51521	1	0.3473	0.48479	0.81739	0.9052	0.0015217	0.0099229	72	-0.0095726	0.0099655	0.055344	67	1.3137	0.057231	0.2342
"9"	"Vitamin digestion and absorption"	23	-0.12205	0.51426	1	0.12205	0.48574	0.81739	-2.4504	0.86207	0.92297	15	-3.0906	0.96368	1	8	0.076983	0.4215	0.68889
"10"	"Vitamin B6 metabolism"	8	0.61493	0.23776	1	-0.61493	0.76224	0.97023	0.050672	0.28146	0.43184	6	-0.63886	0.47155	0.65179	2	1.2079	0.11519	0.33482
"11"	"Viral myocarditis"	71	-1.6004	0.92291	1	1.6004	0.077094	0.32804	-0.53292	0.14479	0.26816	28	-0.65983	0.1971	0.37839	43	-0.15234	0.42388	0.68889
"12"	"Viral carcinogenesis"	209	0.2482	0.23435	1	-0.2482	0.76565	0.97023	-3.8693	0.68487	0.8035	101	-1.8007	0.13689	0.3085	108	-3.6413	0.99666	1
"13"	"Vasopressin-regulated water reabsorption"	42	-0.12957	0.47409	1	0.12957	0.52591	0.8508	-1.1843	0.41927	0.56546	21	-1.1089	0.3974	0.58024	21	-0.56589	0.62108	0.83981
"14"	"Vascular smooth muscle contraction"	122	0.7605	0.13155	0.79182	-0.7605	0.86845	1	0.60888	0.0071828	0.030381	68	-0.010729	0.010938	0.058652	54	0.92724	0.11757	0.33547
"15"	"Valine, leucine and isoleucine degradation"	53	2.8405	0.00093896	0.045277	-2.8405	0.99906	1	-2.5951	0.76798	0.86778	37	-1.0284	0.25458	0.44232	16	-3.1593	0.99541	1
"16"	"Valine, leucine and isoleucine biosynthesis"	3	0.69764	0.2353	1	-0.69764	0.7647	0.97023	-0.18445	0.42636	0.5703	2	0.21682	0.27736	0.46151	1	-0.6261	0.71992	0.89918
"17"	"VEGF signaling pathway"	55	-2.3169	0.98412	1	2.3169	0.015885	0.13811	1.9927	0.002209	0.012571	23	-0.034493	0.10666	0.26326	32	2.6417	0.0049067	0.069363
"18"	"Ubiquitin mediated proteolysis"	136	2.7186	0.00099627	0.045277	-2.7186	0.999	1	-1.1945	0.12017	0.23218	78	0.79422	0.00084273	0.0095669	58	-2.7502	0.98292	1
"19"	"Ubiquinone and other terpenoid-quinone biosynthesis"	10	-0.20214	0.54299	1	0.20214	0.45701	0.78596	0.17716	0.24085	0.38859	5	-0.15644	0.30959	0.48097	5	0.40699	0.31071	0.58786
"20"	"Tyrosine metabolism"	37	-1.2628	0.87465	1	1.2628	0.12535	0.42189	-0.86968	0.34354	0.50013	22	-2.6062	0.87319	0.96342	15	1.7904	0.038577	0.19996
"21"	"Type II diabetes mellitus"	45	-0.59551	0.67176	1	0.59551	0.32824	0.6562	-0.633	0.23669	0.38569	22	-1.0602	0.38975	0.57406	23	0.15151	0.37044	0.6365
"22"	"Type I diabetes mellitus"	53	-1.7292	0.93837	1	1.7292	0.061626	0.31565	-2.8539	0.82595	0.90534	18	-1.3983	0.57291	0.75819	35	-2.5092	0.97606	1
"23"	"Tuberculosis"	159	-3.0378	0.99592	1	3.0378	0.0040801	0.065544	1.4187	0.00024321	0.0031552	67	-0.47054	0.034518	0.13942	92	2.2667	0.0075915	0.086604
"24"	"Tryptophan metabolism"	44	0.75341	0.15957	0.83985	-0.75341	0.84043	1	-2.488	0.78707	0.87156	27	-1.9866	0.67535	0.83017	17	-1.4991	0.89009	0.99575
"25"	"Transcriptional misregulation in cancer"	165	-0.26651	0.44502	1	0.26651	0.55498	0.86422	0.11106	0.0075887	0.03167	82	-0.3702	0.016194	0.078692	83	0.52455	0.18496	0.44247
"26"	"Toxoplasmosis"	106	-3.1463	0.99861	1	3.1463	0.0013907	0.031114	0.82723	0.0063622	0.027279	42	-1.3035	0.29743	0.47745	64	2.1206	0.010523	0.10909
"27"	"Toll-like receptor signaling pathway"	86	-0.93309	0.74503	1	0.93309	0.25497	0.59557	-0.28511	0.064413	0.14401	41	-0.80569	0.16333	0.34584	45	0.3749	0.2463	0.52108
"28"	"Tight junction"	160	-0.88778	0.68426	1	0.88778	0.31574	0.64776	-0.064766	0.010347	0.038553	80	-1.1689	0.071599	0.20243	80	1.0773	0.084639	0.28297
"29"	"Thyroid hormone synthesis"	72	1.761	0.023437	0.30566	-1.761	0.97656	1	-1.4839	0.38009	0.53831	45	-1.1072	0.20212	0.38564	27	-0.99374	0.75788	0.9159
"30"	"Thyroid hormone signaling pathway"	114	1.0922	0.076004	0.58074	-1.0922	0.924	1	2.3542	0.00010061	0.0018888	63	1.548	0.00010189	0.0028199	51	1.7992	0.023855	0.16191
"31"	"Thyroid cancer"	28	-0.72914	0.72662	1	0.72914	0.27338	0.61254	1.0713	0.038265	0.094308	12	0.7346	0.052715	0.17076	16	0.78098	0.21247	0.47757
